Pos,Nome,Categ,Swim,Bike,Run,Total
12,ROBERTO FERREIRA DIAS FILHO,45-49,00:30:48,02:35:48,01:39:04,04:50:54
21,VINICIUS PAZETTE FREITAS,30-34,00:39:44,02:37:24,01:27:24,04:50:57
22,RAFAEL VALLE,30-34,00:26:30,02:40:33,01:38:39,04:51:39
23,FILIPPO GERONIMI,30-34,00:33:42,02:30:13,01:42:37,04:51:40
24,CARLOS EDUARDO ALENCAR,40-44,00:30:14,02:34:21,01:41:31,04:51:42
25,CANDIDO CHUTORIANSCY,40-44,00:29:11,02:33:01,01:44:27,04:51:55
26,ADENILSON BRAZ,40-44,00:34:04,02:35:08,01:37:33,04:52:08
1,ANA LUIZA BARBOSA DE OLIVEIRA,40-44,00:37:27,02:41:02,01:28:15,04:52:16
9,HENDRIX MARTINS,25-29,00:38:56,02:35:06,01:32:53,04:52:23
27,EDUARDO BARROS MARIUTTI,40-44,00:30:21,02:33:07,01:42:33,04:52:25
5,NICOLAS LUIS AKINAGA BARROS,18-24,00:33:28,02:38:18,01:32:48,04:52:55
13,JORGE MOREIRA,45-49,00:38:04,02:34:40,01:35:10,04:53:05
1,CLAUDIA SCALDINI,30-34,00:33:56,02:35:17,01:38:24,04:53:05
24,CLAUDIO CAPO JUNIOR,30-34,00:36:11,02:33:45,01:35:54,04:53:12
28,LUCIANO FOCÁ,40-44,00:31:13,02:37:01,01:40:06,04:53:14
6,YURI YOSHIDA,18-24,00:31:03,02:38:46,01:38:00,04:53:17
10,CARLOS AUGUSTO COSTA FERNANDES,25-29,00:32:01,02:38:24,01:38:08,04:53:25
25,GUSTAVO TAVEIRA,30-34,00:24:55,02:45:28,01:38:15,04:53:31
30,RICARDO VELHO SIZUKI SIZUKI,40-44,00:29:54,02:38:35,01:38:58,04:53:44
11,LINOEL CURADO VALSECHI,25-29,00:34:43,02:39:04,01:34:05,04:53:47
32,WESLLEY FIGUEIREDO,35-39,00:34:07,02:38:28,01:32:41,04:53:53
33,DOUGLAS MESQUITA ROCHA,35-39,00:32:33,02:42:15,01:33:25,04:54:01
34,FIORE CIARDI DE SOUZA,35-39,00:41:53,02:33:44,01:32:44,04:54:12
Pos,Nome,Categ,Swim,Bike,Run,Total
36,RICARDO REYNALDO COUTINHO,35-39,00:31:46,02:37:53,01:38:57,04:54:52
28,EDUARDO BUSCACIO,30-34,00:34:18,02:37:17,01:38:02,04:55:21
12,IGOR POLTRONIERI,25-29,00:25:59,02:42:48,01:41:05,04:55:27
37,ÍTALO CASTRO,35-39,00:31:13,02:32:08,01:47:16,04:55:34
38,DAVID ALVES DE ARAUJO,35-39,00:32:10,02:39:49,01:36:03,04:55:37
39,EDERSON KRUMMENAUER,35-39,00:34:48,02:35:32,01:37:12,04:55:40
40,THIAGO PAIVA CHAVES,35-39,00:30:39,02:34:44,01:45:10,04:56:10
29,RAPHAEL CIABATTARI,30-34,00:29:21,02:31:16,01:46:35,04:56:22
