Pos Categ,Nome,Categ,Sexo,Swim,Bike,Run,Total
170,LUÍS FELIPE SAGIORO,30-34,M,00:34:41,02:54:10,02:13:55,05:57:52
240,RODRIGO PINTO,35-39,M,00:40:02,02:56:00,02:07:53,05:58:11
37,MARIA CAROLINA FORMIGONI,35-39,M,00:45:15,03:07:50,01:55:20,05:58:27
38,CAMILLA DE MEDEIROS,35-39,M,00:43:48,03:00:57,02:04:33,05:59:10
27,MÔNICA TAVARES,30-34,M,00:33:59,02:57:16,02:19:14,06:00:10
77,MARCELO PACIFICO,25-29,M,00:33:18,03:28:39,01:49:56,06:01:13
17,ANA LUISA MENDES AMARO DE SOUZA,45-49,M,00:39:45,03:07:17,02:03:27,06:01:16
166,PAULO BRUNSFELD,45-49,M,00:41:22,02:47:11,02:18:18,06:01:18
269,CÉLIO SANTOS,40-44,M,00:36:50,03:08:25,02:06:24,06:01:29
277,FABIO DIAS,40-44,M,00:44:12,02:43:20,02:26:45,06:04:10
178,FERNANDO ARMANI PICETTI,45-49,M,00:53:00,02:54:25,02:02:32,06:04:32
22,DANIELLE PIMENTA,45-49,M,00:44:17,02:58:41,02:06:47,06:05:28
45,KARINA ORLANDIN,35-39,M,00:37:39,02:50:55,02:25:51,06:06:26
183,MARCELO MACHADO,45-49,M,00:39:47,02:53:59,02:21:27,06:06:34
37,DANIELA CUNHA RORIGUES,40-44,M,00:44:55,03:01:57,02:10:18,06:07:00
7,PAULO FARINA JR,60-64,M,00:43:50,03:05:23,02:04:58,06:07:03
40,SILMARA CASTRO,40-44,M,00:49:23,02:50:11,02:16:36,06:07:36
31,MARA FLAVIA SOUZA ARAUJO,30-34,M,00:44:46,03:07:56,02:03:36,06:08:32
192,JEFERSON CAMPOS,45-49,M,00:53:03,02:53:11,02:09:50,06:10:06
275,JOÃO PAULO MACHADO DA COSTA,35-39,M,00:45:58,02:52:34,02:23:19,06:10:10
41,FERNANDA BARROS,40-44,M,00:36:49,03:14:59,02:03:43,06:10:29
276,ALEXANDRE MEDICI,35-39,M,00:34:39,02:49:25,02:33:57,06:12:12
43,JANAINA VOLPE,40-44,M,00:50:42,02:57:13,02:11:08,06:12:14
21,LUANA MARTELLI,25-29,M,00:39:56,03:14:10,02:05:46,06:13:11
295,VLADIMIR ALMEIDA,40-44,M,00:42:07,02:56:53,02:17:55,06:14:05
192,PEDRO HENRIQUE PESSOA,30-34,M,00:36:54,02:43:29,02:35:57,06:14:11
50,RENATA ANDRADE FRANÇA,35-39,M,00:40:08,02:59:00,02:22:24,06:14:28
297,RODRIGO DE CASTILHOS ALVES,40-44,M,00:42:40,03:09:04,02:09:59,06:14:46
85,CHRISTIAN VON HERTWIG FERRAZ,25-29,M,00:38:11,03:01:10,02:21:13,06:14:47
195,GUSTAVO GONCALVES,30-34,M,00:33:07,02:58:25,02:28:28,06:16:27
197,TIAGO GAVIOLI VILLAS,30-34,M,00:47:40,02:52:09,02:22:32,06:17:14
198,ANDERSON MOREIRA,30-34,M,00:41:32,02:41:36,02:43:13,06:17:37
29,SANDRA CRISTINA RIBEIRO,45-49,M,00:44:59,02:52:33,02:26:46,06:18:00
46,SILVIA SOMAZZ,40-44,M,00:47:46,03:04:33,02:14:27,06:18:54
207,ANDREI FRANK MEDEIROS,45-49,M,00:45:03,02:51:35,02:28:11,06:19:00
49,LUIZ ANTONIO REIS,55-59,M,00:42:48,03:00:46,02:23:10,06:21:59
216,RODRIGO SILVESTRI,45-49,M,00:40:03,02:55:34,02:35:56,06:23:35
54,MELISSA BERTTI DE OLIVEIRA,35-39,M,01:00:11,02:55:49,02:15:16,06:24:00
30,RAYAN MATIAS,18-24,M,00:36:08,03:05:14,02:21:05,06:24:58
315,RODRIGO CADETE,40-44,M,00:38:18,02:55:30,02:39:51,06:26:17
321,ANDRE SELL,40-44,M,00:42:43,02:45:33,02:43:54,06:27:38
202,VICENTE CARVALHO,30-34,M,00:45:17,02:47:06,02:44:00,06:28:19
297,RAFAEL LUZZI,35-39,M,00:46:33,02:51:50,02:35:09,06:29:36
56,MARIE HENRY,35-39,M,00:40:43,03:15:58,02:22:08,06:29:44
