Pos,Nome,Categ,Swim,Bike,Run,Total
18,GUILHERME OLIVER,25-29,00:27:14,02:36:56,01:57:39,05:04:50
38,RAFAEL SILVA,30-34,00:35:33,02:42:15,01:45:03,05:04:50
Pos,Nome,Categ,Swim,Bike,Run,Total
39,VINICIUS MENDONÇA NOVAES,30-34,00:35:41,02:35:12,01:48:13,05:04:59
43,ANDERSON MACHADO,35-39,00:33:13,02:45:37,01:39:39,05:05:01
40,ANDRÉ GEWEHR,30-34,00:36:57,02:42:18,01:41:35,05:05:17
10,RODRIGO ANDRADE,45-49,00:29:21,02:40:33,01:52:32,05:05:38
19,FABIO NOZZA,25-29,00:33:24,02:38:00,01:47:32,05:05:53
44,LEONARDO PERRONE POERNER,35-39,00:31:46,02:42:54,01:47:19,05:05:57
11,OLAVO JOSE DOS SANTOS,45-49,00:35:59,02:34:38,01:47:42,05:06:08
41,AUGUSTO OLIVEIRA,30-34,00:35:43,02:33:57,01:50:20,05:06:13
29,MARCELO CRHIS CORREA,40-44,00:35:56,02:32:03,01:52:17,05:06:21
42,RICARDO ROCHA,30-34,00:35:23,02:37:01,01:43:25,05:06:34
46,DANIEL SALES CAVALCANTI,35-39,00:28:49,02:39:28,01:53:49,05:06:38
30,JACQUES MARCEL ABRAMOVITCH,40-44,00:29:29,02:48:21,01:43:01,05:06:50
1,JULIANA TRINDADE,35-39,00:33:34,02:46:50,01:42:20,05:06:55
43,VITOR PEDROSA,30-34,00:38:00,02:40:03,01:43:48,05:07:02
31,JULIANO ANTONIO BARONE,40-44,00:31:42,02:39:13,01:47:28,05:07:08
44,RENATO PIRES,30-34,00:30:30,02:43:46,01:43:48,05:07:28
2,THELMA D'AMELIO,35-39,00:38:46,02:39:13,01:45:04,05:07:50
32,GUSTAVO NEVES COUTO,40-44,00:28:43,02:46:33,01:49:10,05:07:57
1,ANA LUIZA BARBOSA DE OLIVEIRA,40-44,00:40:46,02:52:02,01:28:59,05:07:58
7,MARCEL ALMEIDA,50-54,00:35:25,02:35:12,01:52:37,05:08:04
8,LUIZ AUGUSTO DA CUNHA ANDRADE,50-54,00:41:18,02:34:31,01:41:16,05:08:17
20,RONAN WAEGER RAPOSO,25-29,00:28:39,02:54:52,01:43:27,05:08:24
45,GUSTAVO TAVEIRA,30-34,00:26:07,02:47:24,01:50:37,05:08:31
47,FERNANDO ARAUJO,35-39,00:33:15,02:44:22,01:45:29,05:08:31
9,JOSÉ HENRIQUE PAIVA,50-54,00:32:51,02:43:00,01:45:49,05:08:35
46,CELSO TOZZO,30-34,00:31:47,02:35:10,01:56:33,05:08:47
49,ALEXANDRE GUERREIRO,35-39,00:34:10,02:38:56,01:48:57,05:08:55
50,PAULO LIMA,35-39,00:31:28,02:40:23,01:54:13,05:08:55
21,ROMULO HAGI,25-29,00:30:22,02:44:05,01:48:32,05:09:00
34,LUIS GUSTAVO INIESTA CASTILHO,40-44,00:32:44,02:38:37,01:50:44,05:09:03
Pos,Nome,Categ,Swim,Bike,Run,Total
3,LUCIANA HADDAD,35-39,00:36:41,02:49:47,01:41:38,05:09:08
35,ANTONIO EMANUEL ANDRADE E SILVA,40-44,00:34:07,02:46:51,01:45:18,05:09:08
8,BRUNO P HOMEM,18-24,00:34:21,02:33:41,01:51:03,05:09:17
47,MARCELO FALVO,30-34,00:35:31,02:42:34,01:45:54,05:09:17
13,ALEXANDRE BARBOSA,45-49,00:42:39,02:39:31,01:44:56,05:09:27
48,ALEXANDRE  CORREIA,30-34,00:30:33,02:40:33,01:53:14,05:09:34
49,DIEGO ANTONIO ALMEIDA,30-34,00:36:08,02:42:55,01:47:17,05:09:41
50,ANTONIO ROBERTO MARCIANO JUNIOR MARCIANO,30-34,00:33:59,02:34:19,01:53:44,05:09:47
51,FELIPE LEMOS,30-34,00:32:51,02:55:22,01:39:40,05:09:48
52,DANIEL BRITO,30-34,00:35:38,02:44:27,01:43:10,05:09:52
36,ALEXANDRE PEREZ,40-44,00:38:23,02:33:29,01:51:10,05:09:54
53,ANDRE VITAL CAVALCANTE,30-34,00:34:23,02:45:29,01:48:12,05:09:55
1,FLAVIA BIONDI,45-49,00:30:36,02:42:11,01:55:32,05:09:56
54,MARCOS EDUARDO PEREIRA,30-34,00:30:36,02:44:01,01:49:54,05:10:05
9,BRUNO BAETA,18-24,00:37:20,02:48:01,01:42:00,05:10:08
55,THIAGO RODRIGUES CARNEIRO LOPES,30-34,00:36:58,02:33:26,01:49:59,05:10:09
56,LUCIANO DE OLIVEIRA PEREIRA,30-34,00:33:58,02:42:52,01:46:31,05:10:18
37,ALEXANDRE VASCONCELLOS,40-44,00:32:35,02:35:56,01:54:09,05:10:19
57,RAFAEL VALLE,30-34,00:28:02,02:48:11,01:48:40,05:10:22
51,RODRIGO SOUZA,35-39,00:33:55,02:37:44,01:49:23,05:10:23
52,DENNIS NAPOLITANO,35-39,00:32:07,02:38:47,01:49:52,05:10:29
22,JOÃO FREIRE,25-29,00:36:19,02:41:52,01:45:44,05:10:41
58,MAICON DEL PAPA,30-34,00:38:17,02:42:36,01:44:40,05:10:41
1,MANOEL O B FERRAZ,55-59,00:40:20,02:42:43,01:44:47,05:10:43
23,LUCAS SANTOS DINIZ,25-29,00:42:34,02:43:23,01:39:19,05:10:51
53,ANDRÉ SAITO,35-39,00:34:44,02:38:12,01:51:24,05:10:52
24,JOAO CARLOS CAETANO BARBOSA MOREIRA,25-29,00:33:59,02:43:26,01:51:58,05:11:31
54,RODRIGO SEBOLLELA DUQUE ESTRADA REGIS,35-39,00:33:12,02:42:20,01:50:17,05:11:34
12,WITNEY JUNIOR,50-54,00:34:50,02:40:03,01:49:59,05:11:35
55,DANIEL MENDES,35-39,00:29:00,02:48:23,01:45:59,05:11:39
Pos,Nome,Categ,Swim,Bike,Run,Total
56,JOSE ALCIDES DE SOUZA JUNIOR,35-39,00:30:20,02:39:22,01:54:38,05:11:40
25,RENAN PAPARELI,25-29,00:32:55,02:36:28,02:00:42,05:11:43
14,GUIDO EUGENIO,45-49,00:37:03,02:40:44,01:46:59,05:11:47
10,LAFAYETTE ANDRADA,18-24,00:33:03,02:49:14,01:48:17,05:11:54
59,EDUARDO DA SILVA GUARILHA,30-34,00:33:34,02:35:09,01:54:44,05:11:57
60,DAVID KLABIN,30-34,00:43:55,02:36:57,01:40:45,05:12:05
15,GUILHERME B. MACEDO SOARES,45-49,00:30:41,02:58:45,01:38:51,05:12:05
57,DENIS CROZARIOL DA SILVA,35-39,00:39:08,02:37:00,01:54:35,05:12:09
2,ALEJANDRO RODRIGUEZ COMAS,55-59,00:33:07,02:39:16,01:52:36,05:12:19
4,NINA KELLER,30-34,00:33:34,02:46:53,01:46:27,05:12:24
58,FERNANDO COUTINHO,35-39,00:39:05,02:42:56,01:43:13,05:12:48
59,PABLO NUNES,35-39,00:34:08,02:33:57,01:57:18,05:13:14
60,JOSE AUGUSTO SALES NOBREGA,35-39,00:33:03,02:52:32,01:45:53,05:13:16
61,IVAN FERNANDES FARIA,35-39,00:37:54,02:44:34,01:43:31,05:13:16
26,RAPHAEL DE AVELLAR,25-29,00:35:42,02:56:45,01:36:03,05:13:17
61,EDUARDO FERRAZ,30-34,00:35:01,02:50:43,01:41:49,05:13:17
62,JORGE CALS COELHO FILHO,35-39,00:28:40,02:50:25,01:45:57,05:13:23
16,ANDRE LUIZ DE MORAES VODOPIVES,45-49,00:37:12,02:45:05,01:47:13,05:13:27
40,CESAR M CONCONE,40-44,00:30:42,02:41:14,01:53:39,05:13:35
63,CLÉBIO BATISTA,35-39,00:34:17,02:39:06,01:53:03,05:13:36
41,JOSÉ ALFREDO BELTRAME,40-44,00:33:29,02:45:38,01:52:35,05:13:42
64,GABRIEL SILVA,35-39,00:34:54,02:43:36,01:49:20,05:13:43
62,MARCELO GERMANI,30-34,00:32:52,02:35:08,02:03:30,05:13:45
4,PAULA ROVANI,35-39,00:39:47,02:44:09,01:44:21,05:13:50
